IBI,Cump,NB,distancia
20.271,NN,4,menos de 30m
16.865,NN,4,menos de 30m
96.461,NN,4,menos de 30m
25.003,NN,4,menos de 30m
23.499,NN,4,menos de 30m
39.378,NN,4,menos de 30m
22.974,NN,4,menos de 30m
7.485,NN,7,menos de 30m
3.458,NN,7,menos de 30m
10.784,NN,7,menos de 30m
9.528,NN,7,menos de 30m
11.174,NN,7,menos de 30m
13.263,NN,7,menos de 30m
8.803,NN,7,menos de 30m
42.993,NN,7,menos de 30m
14.694,NN,4,menos de 30m
5.013,NN,4,menos de 30m
4.533,NN,4,menos de 30m
40.96,NN,4,menos de 30m
126.122,NN,4,menos de 30m
54.252,NN,4,menos de 30m
17.751,NN,4,menos de 30m
7.528,NN,4,menos de 30m
311.924,NN,4,menos de 30m
21.023,NN,4,menos de 30m
12.447,NN,4,menos de 30m
4.751,NN,4,menos de 30m
9.269,NN,4,menos de 30m
9,NN,4,menos de 30m
10.004,NN,4,menos de 30m
30.999,NC,2,menos de 30m
51.562,NC,2,menos de 30m
10.249,NC,2,menos de 30m
11.248,NC,2,menos de 30m
20.751,NC,2,menos de 30m
54.742,NC,2,menos de 30m
45.749,NC,2,menos de 30m
33.513,NC,2,menos de 30m
9.987,NC,2,menos de 30m
17.511,NC,2,menos de 30m
21.744,NC,2,menos de 30m
19.757,NC,2,menos de 30m
39.485,NC,2,menos de 30m
52.31,NC,2,menos de 30m
66.732,NC,2,menos de 30m
35.022,NC,2,menos de 30m
36.5,NC,2,menos de 30m
22.261,NC,3,menos de 30m
26.49,NC,3,menos de 30m
42.511,NC,3,menos de 30m
39.999,NC,3,menos de 30m
33.491,NC,3,menos de 30m
59.547,NC,3,menos de 30m
12.252,NC,3,menos de 30m
39.001,NC,3,menos de 30m
43.012,NC,1,menos de 30m
15.999,NC,1,menos de 30m
10.006,NC,1,menos de 30m
18,NC,1,menos de 30m
53.805,NC,1,menos de 30m
60.244,NC,1,menos de 30m
28,NC,1,menos de 30m
67.014,NC,1,menos de 30m
37.739,NC,1,menos de 30m
20.505,NC,1,menos de 30m
21.998,NC,1,menos de 30m
42.999,NC,1,menos de 30m
32.84,NC,1,menos de 30m
12.745,NC,2,menos de 30m
51.499,NC,2,menos de 30m
46.188,NC,2,menos de 30m
33.249,NC,3,menos de 30m
55.497,NC,3,menos de 30m
29.008,NC,3,menos de 30m
20.505,NC,2,menos de 30m
29.483,NC,2,menos de 30m
54.995,NC,3,menos de 30m
52.157,NC,3,menos de 30m
43.663,NC,3,menos de 30m
24.747,NC,3,menos de 30m
20.246,NC,3,menos de 30m
45.254,NC,3,menos de 30m
55.745,NC,3,menos de 30m
53.263,NC,3,menos de 30m
20.995,NC,1,menos de 30m
18.243,NC,1,menos de 30m
31.047,NC,2,menos de 30m
12.993,NC,1,menos de 30m
20.496,NC,1,menos de 30m
31.005,NC,1,menos de 30m
26.501,NC,1,menos de 30m
6.985,NC,2,menos de 30m
34.517,NC,2,menos de 30m
52.002,NC,2,menos de 30m
44.998,NC,1,menos de 30m
17.004,NC,1,menos de 30m
50.245,NC,1,menos de 30m
36.496,NC,1,menos de 30m
33.037,NC,1,menos de 30m
31.268,NC,1,menos de 30m
14.003,NC,2,menos de 30m
29.009,NC,2,menos de 30m
16.253,NC,3,menos de 30m
17.742,NC,3,menos de 30m
10.259,NC,2,menos de 30m
54.749,NC,2,menos de 30m
42.75,NC,2,menos de 30m
20.004,NC,3,menos de 30m
40.502,NC,3,menos de 30m
22.489,NC,3,menos de 30m
31.755,NC,3,menos de 30m
56.046,NC,2,menos de 30m
16.723,NC,2,menos de 30m
6.984,NC,1,menos de 30m
17.507,NC,1,menos de 30m
6.753,NC,1,menos de 30m
20.994,NC,1,menos de 30m
43.258,NC,1,menos de 30m
8.502,NC,1,menos de 30m
6.246,NC,3,menos de 30m
52.004,NC,3,menos de 30m
30.496,NC,3,menos de 30m
57,NC,3,menos de 30m
10.003,NC,3,menos de 30m
30.997,NC,3,menos de 30m
42.621,NC,3,menos de 30m
37.746,NC,3,menos de 30m
15.748,NC,3,menos de 30m
11.749,NC,3,menos de 30m
23.635,NC,3,menos de 30m
23.987,NC,3,menos de 30m
46.622,NC,3,menos de 30m
34.504,NC,3,menos de 30m
41.489,NC,3,menos de 30m
43.25,NC,3,menos de 30m
9.011,NC,3,menos de 30m
37.988,NC,3,menos de 30m
20.23,NC,3,menos de 30m
15.999,NC,3,menos de 30m
35.751,NC,3,menos de 30m
14.76,NC,3,menos de 30m
15.809,NC,1,menos de 30m
12.241,NC,1,menos de 30m
33.749,NC,1,menos de 30m
5.253,NC,1,menos de 30m
9.261,NC,1,menos de 30m
5.997,NC,1,menos de 30m
6.002,NC,1,menos de 30m
3.495,NC,1,menos de 30m
25.505,NC,1,menos de 30m
50.998,NC,1,menos de 30m
8.999,NC,1,menos de 30m
13.996,NC,1,menos de 30m
9.006,NC,1,menos de 30m
23.614,NC,1,menos de 30m
8.759,NC,1,menos de 30m
17.754,NC,1,menos de 30m
7.244,NC,1,menos de 30m
7.01,NC,1,menos de 30m
9.736,NC,1,menos de 30m
9.503,NC,1,menos de 30m
7.498,NC,1,menos de 30m
39.224,NC,2,menos de 30m
40.253,NC,2,menos de 30m
18.504,NC,2,menos de 30m
92.733,NC,3,menos de 30m
11.745,NC,3,menos de 30m
18.76,NC,3,menos de 30m
11.504,NC,3,menos de 30m
15.259,NC,3,menos de 30m
24.776,NC,2,menos de 30m
41.234,NC,2,menos de 30m
36.741,NC,2,menos de 30m
54.505,NC,3,menos de 30m
12.798,NC,3,menos de 30m
10.666,NC,3,menos de 30m
13.523,NC,3,menos de 30m
65.8,NC,3,menos de 30m
35.5,NC,1,menos de 30m
38.991,NC,1,menos de 30m
23.258,NC,1,menos de 30m
23.234,NC,1,menos de 30m
34.492,NC,1,menos de 30m
37.662,NC,1,menos de 30m
28.925,NC,2,menos de 30m
45.196,NC,2,menos de 30m
55.202,NC,3,menos de 30m
35.431,NC,3,menos de 30m
42.488,NC,3,menos de 30m
16.273,NC,3,menos de 30m
45.104,NC,3,menos de 30m
35.737,NC,2,menos de 30m
36.373,NC,2,menos de 30m
42.591,NC,2,menos de 30m
5.998,NC,2,menos de 30m
19.254,NC,2,menos de 30m
21.329,NC,2,menos de 30m
28.111,NC,2,menos de 30m
46.246,NC,2,menos de 30m
19.744,NC,2,menos de 30m
36.367,NC,2,menos de 30m
14.271,NC,2,menos de 30m
9.483,NC,2,menos de 30m
23.605,NC,2,menos de 30m
2.411,NC,2,menos de 30m
12.958,NC,2,menos de 30m
3.742,NC,2,menos de 30m
12.75,NC,2,menos de 30m
63.503,NC,1,menos de 30m
17.999,NC,1,menos de 30m
28.499,NC,1,menos de 30m
13.275,NC,3,menos de 30m
23.561,NC,3,menos de 30m
31.303,NC,3,menos de 30m
24.348,NC,3,menos de 30m
17.22,NC,3,menos de 30m
62.005,NC,2,menos de 30m
31.515,NC,2,menos de 30m
15.74,NC,2,menos de 30m
33.513,NC,2,menos de 30m
47.525,NC,2,menos de 30m
25.309,NC,2,menos de 30m
16.271,NC,2,menos de 30m
9.942,NC,2,menos de 30m
36.459,NC,2,menos de 30m
21.227,NC,2,menos de 30m
26.25,NC,2,menos de 30m
84.153,NC,2,menos de 30m
36.781,NC,2,menos de 30m
30.295,NC,2,menos de 30m
21.012,NC,2,menos de 30m
33.483,NC,2,menos de 30m
55.507,NC,2,menos de 30m
51.353,NC,2,menos de 30m
47.008,NC,2,menos de 30m
29.225,NC,2,menos de 30m
26.226,NC,2,menos de 30m
36.753,NC,2,menos de 30m
28.441,NC,2,menos de 30m
31.803,NC,2,menos de 30m
52.214,NC,2,menos de 30m
38.823,NC,2,menos de 30m
27.535,NC,2,menos de 30m
40.882,NC,2,menos de 30m
40.5,NC,2,menos de 30m
33.488,NC,2,menos de 30m
11.25,NC,2,menos de 30m
13.5,NC,2,menos de 30m
70.998,NC,2,menos de 30m
6.753,NC,2,menos de 30m
9.999,NC,2,menos de 30m
13.749,NC,3,menos de 30m
147.577,NC,3,menos de 30m
66.615,NC,3,menos de 30m
13.819,NC,3,menos de 30m
14.789,NC,1,menos de 30m
13.547,NC,3,menos de 30m
70.158,NC,1,menos de 30m
12.711,NC,1,menos de 30m
14.242,NC,1,menos de 30m
59.497,NC,3,menos de 30m
13.507,NC,3,menos de 30m
12.994,NC,3,menos de 30m
19.994,NC,3,menos de 30m
72.505,NC,3,menos de 30m
62.977,NC,2,menos de 30m
14.734,NC,2,menos de 30m
38.48,NC,2,menos de 30m
28.792,NC,2,menos de 30m
